CustomerID,CustomerName,Gender,Age,City,Province,MembershipType,RegistrationDate
1,Customer 1,Male,65,Islamabad,Punjab,Regular,2023-02-07
2,Customer 2,Female,40,Lahore,Punjab,Silver,2023-10-05
3,Customer 3,Male,48,Lahore,Punjab,Regular,2023-07-29
4,Customer 4,Male,59,Karachi,Sindh,VIP,2023-11-27
5,Customer 5,Female,42,Rawalpindi,Punjab,Regular,2023-07-13
6,Customer 6,Male,61,Rawalpindi,Punjab,VIP,2023-10-04
7,Customer 7,Female,25,Karachi,Sindh,Regular,2023-10-03
8,Customer 8,Male,64,Rawalpindi,Punjab,VIP,2023-01-02
9,Customer 9,Female,47,Lahore,Punjab,Regular,2023-10-06
10,Customer 10,Female,32,Rawalpindi,Punjab,Regular,2023-06-27
11,Customer 11,Female,30,Karachi,Sindh,Gold,2023-02-27
12,Customer 12,Female,57,Lahore,Punjab,Silver,2023-01-09
13,Customer 13,Male,22,Karachi,Sindh,Regular,2023-01-18
14,Customer 14,Male,33,Rawalpindi,Punjab,Silver,2023-07-25
15,Customer 15,Male,52,Rawalpindi,Punjab,Regular,2023-01-29
16,Customer 16,Female,32,Karachi,Sindh,Silver,2023-10-22
17,Customer 17,Female,33,Islamabad,Punjab,Regular,2023-03-15
18,Customer 18,Male,44,Multan,Punjab,Regular,2023-02-01
19,Customer 19,Male,58,Faisalabad,Punjab,Regular,2023-10-12
20,Customer 20,Male,40,Rawalpindi,Punjab,Gold,2023-12-10
21,Customer 21,Female,62,Rawalpindi,Punjab,Regular,2023-03-18
22,Customer 22,Female,29,Islamabad,Punjab,Silver,2023-08-31
23,Customer 23,Male,37,Karachi,Sindh,Gold,2023-03-15
24,Customer 24,Male,53,Rawalpindi,Punjab,Regular,2023-08-02
25,Customer 25,Male,42,Faisalabad,Punjab,Regular,2023-04-15
26,Customer 26,Male,46,Islamabad,Punjab,Silver,2023-02-17
27,Customer 27,Male,21,Faisalabad,Punjab,Regular,2023-12-11
28,Customer 28,Male,22,Faisalabad,Punjab,Regular,2023-10-28
29,Customer 29,Male,48,Multan,Punjab,Regular,2023-06-20
30,Customer 30,Male,31,Islamabad,Punjab,Gold,2023-03-02
31,Customer 31,Female,33,Multan,Punjab,Regular,2023-12-27
32,Customer 32,Female,33,Karachi,Sindh,Regular,2023-05-25
33,Customer 33,Female,52,Rawalpindi,Punjab,Regular,2023-06-07
34,Customer 34,Female,50,Islamabad,Punjab,Gold,2023-08-27
35,Customer 35,Female,38,Lahore,Punjab,Gold,2023-07-09
36,Customer 36,Female,20,Islamabad,Punjab,Regular,2023-04-24
37,Customer 37,Male,19,Multan,Punjab,Regular,2023-10-27
38,Customer 38,Female,36,Faisalabad,Punjab,Regular,2023-06-18
39,Customer 39,Female,54,Karachi,Sindh,Silver,2023-09-13
40,Customer 40,Female,34,Faisalabad,Punjab,Silver,2023-09-08
41,Customer 41,Female,47,Multan,Punjab,Regular,2023-06-30
42,Customer 42,Male,64,Karachi,Sindh,Regular,2023-04-05
43,Customer 43,Male,51,Faisalabad,Punjab,Regular,2023-02-08
44,Customer 44,Male,18,Multan,Punjab,Regular,2023-11-19
45,Customer 45,Male,63,Karachi,Sindh,Regular,2023-04-22
